Date, Price 
18-Nov-98,4779.62
19-Nov-98,4816.42
20-Nov-98,4866.13
23-Nov-98,4920.62
24-Nov-98,4866.61
25-Nov-98,4823.12
26-Nov-98,4841.76
27-Nov-98,4802.56
30-Nov-98,4785.36
1-Dec-98,4594.65
2-Dec-98,4609.47
3-Dec-98,4537.29
4-Dec-98,4447.44
7-Dec-98,4492.37
8-Dec-98,4461.78
9-Dec-98,4493.80
10-Dec-98,4490.93
11-Dec-98,4464.17
14-Dec-98,4400.60
15-Dec-98,4413.50
17-Dec-98,4360.45
18-Dec-98,4325.08
21-Dec-98,4366.18
22-Dec-98,4379.09
23-Dec-98,4369.05
24-Dec-98,4427.36
28-Dec-98,4538.25
29-Dec-98,4564.54
30-Dec-98,4594.17
31-Dec-98,4562.63
4-Jan-99,4542.55
5-Jan-99,4565.49
6-Jan-99,4822.16
7-Jan-99,4866.61
8-Jan-99,4957.42
11-Jan-99,5033.90
12-Jan-99,5028.16
13-Jan-99,4821.20
14-Jan-99,4867.57
15-Jan-99,4825.51
18-Jan-99,4921.10
19-Jan-99,4961.25
20-Jan-99,4929.70
21-Jan-99,4881.43
22-Jan-99,4795.39
25-Jan-99,4799.70
26-Jan-99,4814.99
27-Jan-99,4918.23
28-Jan-99,4962.68
29-Jan-99,4974.63
31-Jan-99,4982.28
1-Feb-99,4995.66
2-Feb-99,4954.08
3-Feb-99,4927.79
4-Feb-99,4968.89
5-Feb-99,4997.09
8-Feb-99,5046.32
9-Feb-99,5036.29
10-Feb-99,4988.49
11-Feb-99,5042.98
12-Feb-99,5089.82
15-Feb-99,5055.41
16-Feb-99,5049.67
17-Feb-99,5028.64
18-Feb-99,5058.75
19-Feb-99,5015.73
22-Feb-99,5037.72
23-Feb-99,5063.53
24-Feb-99,5056.36
25-Feb-99,5070.22
26-Feb-99,5040.11
28-Feb-99,5040.11
1-Mar-99,5074.52
2-Mar-99,5099.86
3-Mar-99,5207.87
4-Mar-99,5248.50
5-Mar-99,5318.28
8-Mar-99,5358.43
9-Mar-99,5342.18
10-Mar-99,5319.24
11-Mar-99,5400.49
12-Mar-99,5470.75
15-Mar-99,5429.17
16-Mar-99,5528.11
17-Mar-99,5552.01
18-Mar-99,5511.38
19-Mar-99,5603.63
23-Mar-99,5564.43
24-Mar-99,5489.87
25-Mar-99,5537.19
26-Mar-99,5472.19
29-Mar-99,5456.42
30-Mar-99,5437.30
31-Mar-99,5389.98
1-Apr-99,5411.01
6-Apr-99,5422.96
7-Apr-99,5432.52
8-Apr-99,5441.60
9-Apr-99,5522.37
12-Apr-99,5534.80
13-Apr-99,5632.31
14-Apr-99,5697.79
15-Apr-99,5834.01
16-Apr-99,5994.60
19-Apr-99,6044.31
20-Apr-99,5982.65
21-Apr-99,5822.53
22-Apr-99,5774.26
23-Apr-99,5840.22
26-Apr-99,5881.32
28-Apr-99,6019.45
29-Apr-99,6064.38
30-Apr-99,6185.31
3-May-99,6110.27
4-May-99,6119.35
5-May-99,5999.38
6-May-99,6052.43
7-May-99,6013.72
10-May-99,5992.69
11-May-99,5987.91
12-May-99,5892.79
13-May-99,5924.82
14-May-99,5875.11
17-May-99,5803.42
18-May-99,5860.77
19-May-99,5834.96
20-May-99,5873.68
21-May-99,5977.39
24-May-99,5904.27
25-May-99,5840.70
26-May-99,5785.25
27-May-99,5688.70
28-May-99,5692.53
31-May-99,5688.23
1-Jun-99,5866.98
3-Jun-99,5995.56
4-Jun-99,5974.05
7-Jun-99,6091.15
8-Jun-99,6113.14
9-Jun-99,6146.11
10-Jun-99,6158.06
11-Jun-99,6232.15
14-Jun-99,6219.24
15-Jun-99,6212.55
17-Jun-99,6216.85
18-Jun-99,6233.10
21-Jun-99,6319.14
22-Jun-99,6262.26
23-Jun-99,6202.51
24-Jun-99,6194.87
25-Jun-99,6182.92
28-Jun-99,6232.15
29-Jun-99,6199.17
30-Jun-99,6268.95
1-Jul-99,6396.09
2-Jul-99,6456.79
5-Jul-99,6573.89
6-Jul-99,6510.32
7-Jul-99,6483.08
8-Jul-99,6477.82
9-Jul-99,6484.51
12-Jul-99,6543.78
13-Jul-99,6477.34
14-Jul-99,6500.28
15-Jul-99,6506.98
16-Jul-99,6469.69
19-Jul-99,6487.86
